GEOID10,COUNTYFP10,POP,WHITE,RRATIO,HS_POP,is_school,enrollment,borders,POS
420454068024,045,1062.0,1025.0,0.9651600753295668,42.0,False,0,"['420454068034', '420454068023', '420454068021', '420454068033', '420454068012']","('+39.8323978', '-075.4414194')"
420454068031,045,2266.0,2155.0,0.9510150044130626,89.0,False,0,"['420454068033', '420454068032', '420454104004', '420454104003', '420454068012']","('+39.8511827', '-075.4584701')"
420454067001,045,1652.0,1308.0,0.7917675544794189,65.0,False,0,"['420454066001', '420454065002', '420454065001', '420454067002', '420454068022']","('+39.8268313', '-075.4188296')"
420454068011,045,1562.0,1346.0,0.8617157490396927,61.0,False,0,"['420454068023', '420454069031', '420454064022', '420454069023', '420454068013', '420454068022', '420454068012']","('+39.8478720', '-075.4236052')"
420454066002,045,1061.0,765.0,0.7210179076343073,42.0,False,0,"['420454066001', '420454065002', '420454067002']","('+39.8128876', '-075.4162013')"
420454065002,045,897.0,563.0,0.6276477146042363,35.0,False,0,"['420454054002', '420454107004', '420454066001', '420454067001', '420454066002', '420454065001', '420454107001']","('+39.8220457', '-075.4028546')"
420454068033,045,2384.0,2234.0,0.9370805369127517,93.0,False,0,"['420454068034', '420454068024', '420454068031', '420454068032', '420454104004', '420454104001', '420454104003', '420454068012']","('+39.8357811', '-075.4578195')"
420454065001,045,807.0,561.0,0.6951672862453532,32.0,False,0,"['420454054002', '420454067001', '420454065002', '420454054001', '420454068022']","('+39.8324457', '-075.4098677')"
420454068032,045,1653.0,1343.0,0.8124621899576527,65.0,False,0,"['420454068031', '420454068033', '420454068012']","('+39.8399112', '-075.4475270')"
420454068013,045,1119.0,904.0,0.8078641644325291,44.0,False,0,"['420454069033', '420454068011', '420454069031', '420454068012']","('+39.8541196', '-075.4400879')"
420454067002,045,1819.0,1462.0,0.8037383177570093,71.0,False,0,"['420454068021', '420454066001', '420454067001', '420454066002', '420454068022']","('+39.8210864', '-075.4346803')"
420454068022,045,1135.0,719.0,0.6334801762114537,44.0,False,0,"['420454068023', '420454068021', '420454067001', '420454068011', '420454065001', '420454064022', '420454054001', '420454067002', '420454068012']","('+39.8360749', '-075.4187333')"
420454068012,045,1718.0,1493.0,0.8690337601862631,67.0,True,959,"['420454069033', '420454068023', '420454068024', '420454068031', '420454068011', '420454068033', '420454068032', '420454068013', '420454104004', '420454068022']","('+39.8496181', '-075.4444190')"
420454053002,045,1540.0,218.0,0.14155844155844155,55.0,False,0,"['420454054002', '420454053001', '420454054001']","('+39.8401570', '-075.3972435')"
420454048002,045,564.0,13.0,0.02304964539007092,20.0,False,0,"['420454048003', '420454043003', '420454048001', '420454043001', '420454043002', '420454107001', '420454049002', '420454047002']","('+39.8571324', '-075.3503539')"
420454050001,045,373.0,0.0,0.0,13.0,True,958,"['420454051001', '420454050002', '420454063001', '420454050003', '420454051002']","('+39.8520212', '-075.3697325')"
420454051001,045,1077.0,108.0,0.10027855153203342,39.0,True,530,"['420454050001', '420454052001', '420454063003', '420454063001', '420454064022', '420454051002', '420454052003']","('+39.8499016', '-075.3777190')"
420454048003,045,705.0,70.0,0.09929078014184398,25.0,False,0,"['420454048002', '420454049002']","('+39.8563048', '-075.3518530')"
420454052001,045,873.0,8.0,0.009163802978235968,31.0,False,0,"['420454051001', '420454052002', '420454064022', '420454051002', '420454052003', '420454064021']","('+39.8465708', '-075.3829833')"
420454045001,045,1598.0,306.0,0.19148936170212766,57.0,False,0,"['420454074043', '420454044002', '420454046001', '420454045002', '420454045004', '420454047002', '420454108001', '420454044001']","('+39.8671583', '-075.3633779')"
420454054002,045,1358.0,162.0,0.11929307805596466,49.0,False,0,"['420454053002', '420454107004', '420454053001', '420454065002', '420454065001', '420454054001']","('+39.8345348', '-075.3980472')"
420454107003,045,809.0,6.0,0.007416563658838072,29.0,False,0,"['420454107004', '420454053001', '420454107001', '420454107005', '420454052003']","('+39.8367899', '-075.3823190')"
420454107004,045,1001.0,170.0,0.16983016983016982,36.0,False,0,"['420454054002', '420454107003', '420454053001', '420454065002', '420454107001']","('+39.8318889', '-075.3922038')"
420454044002,045,830.0,345.0,0.41566265060240964,30.0,False,0,"['420454045001', '420454041025', '420454041014', '420454047002', '420454044001']","('+39.8667317', '-075.3568801')"
420454047001,045,792.0,128.0,0.16161616161616163,28.0,False,0,"['420454046001', '420454063001', '420454050003', '420454047002']","('+39.8581272', '-075.3643032')"
420454052002,045,809.0,0.0,0.0,29.0,False,0,"['420454052001', '420454053001', '420454064022', '420454052003', '420454064021']","('+39.8422732', '-075.3853501')"
420454050002,045,840.0,73.0,0.0869047619047619,30.0,False,0,"['420454050001', '420454050003', '420454107002', '420454107005', '420454051002']","('+39.8483633', '-075.3678833')"
420454063003,045,746.0,470.0,0.6300268096514745,27.0,False,0,"['420454051001', '420454064012', '420454063002', '420454064011', '420454063001', '420454064022', '420454062013']","('+39.8545341', '-075.3869192')"
420454049001,045,619.0,78.0,0.1260096930533118,22.0,False,0,"['420454050003', '420454049002', '420454047002']","('+39.8559108', '-075.3583935')"
420454048001,045,789.0,141.0,0.17870722433460076,28.0,False,0,"['420454048002', '420454043001', '420454041025', '420454041024', '420454047002']","('+39.8612966', '-075.3500144')"
420454064012,045,1093.0,115.0,0.10521500457456541,39.0,False,0,"['420454063003', '420454064011', '420454062013']","('+39.8566668', '-075.3921767')"
420454063002,045,1153.0,673.0,0.5836947094535994,41.0,False,0,"['420454063003', '420454062012', '420454063001', '420454046003', '420454062013', '420454061002']","('+39.8589588', '-075.3813651')"
420454064011,045,1717.0,280.0,0.163075131042516,62.0,False,0,"['420454062023', '420454063003', '420454064012', '420454069022', '420454064022', '420454062013']","('+39.8571315', '-075.3938305')"
420454046002,045,733.0,97.0,0.13233287858117326,26.0,False,0,"['420454045003', '420454046001', '420454045002', '420454063001', '420454045004', '420454046003']","('+39.8622897', '-075.3713019')"
420454045003,045,740.0,140.0,0.1891891891891892,27.0,False,0,"['420454046002', '420454045002', '420454045004']","('+39.8665955', '-075.3697765')"
420454046001,045,854.0,197.0,0.2306791569086651,31.0,False,0,"['420454045001', '420454047001', '420454046002', '420454045002', '420454063001', '420454047002']","('+39.8604409', '-075.3677098')"
420454045002,045,1310.0,100.0,0.07633587786259542,47.0,False,0,"['420454045001', '420454046002', '420454045003', '420454046001', '420454045004']","('+39.8648531', '-075.3670425')"
420454053001,045,1269.0,235.0,0.18518518518518517,46.0,False,0,"['420454053002', '420454054002', '420454107003', '420454107004', '420454052002', '420454064022', '420454054001', '420454052003']","('+39.8387002', '-075.3931610')"
420454063001,045,1405.0,691.0,0.4918149466192171,51.0,False,0,"['420454050001', '420454051001', '420454047001', '420454063003', '420454063002', '420454046002', '420454046001', '420454046003', '420454064022', '420454050003', '420454061002']","('+39.8558669', '-075.3747560')"
